g,type,rco,ti,at,n0,p,a,r1,theta,v
0,best,10000.0,0.0,0.0,1.35,2.81249995169e-05,1.5,934.14,3.14151765359,1.3187859466e-05
0,mean,10000.0,0.0,0.0,1.35,2.81249995169e-05,1.5,934.14,3.14151765359,1.3187859466e-05
1,best,9990.00075,0.00075,0.0,1.35,2.81531501969e-05,1.4985,934.14,3.14151750337,1.32105149313e-05
1,mean,9998.261,4.34782608696e-05,0.0,1.35,2.81298952873e-05,1.49991304348,934.14,3.14151763618,1.31907028385e-05
2,best,9980.0015,0,0.0,1.35,2.81813590846e-05,1.5,934.14,3.1415175033,1.32142865618e-05
2,mean,9994.93371333,9e-05,0.0,1.35,2.81392671847e-05,1.49982,934.14,3.14151760653,1.31956836367e-05
3,best,9970.00225,0.00075,0.0,1.35,2.82096225419e-05,1.4985,934.14,3.14151735263,1.32370138756e-05
3,mean,9989.38351235,0.000166666666667,0.0,1.35,2.81549064873e-05,1.49966666667,934.14,3.14151755713,1.32039846574e-05
4,best,9960.003,0.0015,0.0,1.35,2.82379423879e-05,1.497,934.14,3.14151720151,1.32598008041e-05
4,mean,9986.07699367,0.000370253164557,0.0,1.35,2.81642374899e-05,1.49925949367,934.14,3.14151751182,1.32109300428e-05
5,best,9960.003,0.0015,0.0,1.35,2.82379423879e-05,1.497,934.14,3.14151720151,1.32598008041e-05
5,mean,9982.8928494,0.000560240963855,0.0,1.35,2.81732238407e-05,1.49887951807,934.14,3.14151746879,1.32175431078e-05
6,best,9950.00375,0.0015,0.0,1.35,2.82663204416e-05,1.497,934.14,3.14151712568,1.32731263975e-05
6,mean,9979.87650938,0.0007875,0.0,1.35,2.81817394352e-05,1.498425,934.14,3.14151742322,1.3224410583e-05
7,best,9940.0045,0.0015,0.0,1.35,2.8294756703e-05,1.497,934.14,3.1415170497,1.32864793237e-05
7,mean,9974.76379762,0.0009375,0.0,1.35,2.81961951952e-05,1.498125,934.14,3.14151736956,1.32330895208e-05
8,best,9940.0045,0.0015,0.0,1.35,2.8294756703e-05,1.497,934.14,3.1415170497,1.32864793237e-05
8,mean,9969.12731563,0.001134375,0.0,1.35,2.82121310192e-05,1.49773125,934.14,3.14151730723,1.32430567264e-05
9,best,9940.0045,0.0015,0.0,1.35,2.8294756703e-05,1.497,934.14,3.1415170497,1.32864793237e-05
9,mean,9963.16731962,0.0012246835443,0.0,1.35,2.82290109427e-05,1.49755063291,934.14,3.14151725307,1.3252122417e-05
10,best,9950.00375,0.003,0.0,1.35,2.82663204416e-05,1.494,934.14,3.14151697402,1.32921844946e-05
10,mean,9958.26979667,0.00131,0.0,1.35,2.82428898693e-05,1.49738,934.14,3.14151720738,1.32597213931e-05
11,best,9920.006,0.0015,0.0,1.35,2.83517983917e-05,1.497,934.14,3.14151689728,1.33132646121e-05
11,mean,9952.89826974,0.00144078947368,0.0,1.35,2.82581467649e-05,1.49711842105,934.14,3.14151715345,1.32685413694e-05
12,best,9920.006,0.003,0.0,1.35,2.83517983917e-05,1.494,934.14,3.14151674516,1.33323803413e-05
12,mean,9948.35681471,0.00158823529412,0.0,1.35,2.82710524891e-05,1.49682352941,934.14,3.14151710406,1.32764741229e-05
13,best,9920.006,0.00375,0.0,1.35,2.83517983917e-05,1.4925,934.14,3.14151666887,1.3341959642e-05
13,mean,9940.25139506,0.00180555555556,0.0,1.35,2.82941046065e-05,1.49638888889,934.14,3.14151702048,1.32900624944e-05
14,best,9910.00675,0.00225,0.0,1.35,2.8380403819e-05,1.4955,934.14,3.14151674479,1.333625734e-05
14,mean,9933.45326724,0.00206034482759,0.0,1.35,2.83134515861e-05,1.49587931034,934.14,3.14151694301,1.33023875802e-05
15,best,9910.00675,0.003,0.0,1.35,2.8380403819e-05,1.494,934.14,3.14151666857,1.33458319901e-05
15,mean,9927.24683621,0.00215517241379,0.0,1.35,2.83311456487e-05,1.49568965517,934.14,3.14151688605,1.33119112958e-05
16,best,9910.00675,0.00375,0.0,1.35,2.8380403819e-05,1.4925,934.14,3.14151659221,1.33554209559e-05
16,mean,9925.005625,0.00241071428571,0.0,1.35,2.83375501177e-05,1.49517857143,934.14,3.14151684302,1.33181760595e-05
17,best,9900.0075,0.0045,0.0,1.35,2.8409069273e-05,1.491,934.14,3.14151643878,1.33785235297e-05
17,mean,9919.28316265,0.00267469879518,0.0,1.35,2.8353897352e-05,1.49465060241,934.14,3.14151677248,1.33292257868e-05
18,best,9900.0075,0.0045,0.0,1.35,2.8409069273e-05,1.491,934.14,3.14151643878,1.33785235297e-05
18,mean,9913.93050633,0.00298101265823,0.0,1.35,2.83692072945e-05,1.49403797468,934.14,3.1415167004,1.33403306883e-05
19,best,9900.0075,0.00525,0.0,1.35,2.8409069273e-05,1.4895,934.14,3.14151636203,1.33881509347e-05
19,mean,9908.10213095,0.003375,0.0,1.35,2.83858884835e-05,1.49325,934.14,3.14151661564,1.33532117022e-05
20,best,9890.00825,0.00525,0.0,1.35,2.84377929347e-05,1.4895,934.14,3.14151628489,1.34016873415e-05
20,mean,9902.5073125,0.0035625,0.0,1.35,2.84019189556e-05,1.492875,934.14,3.14151655355,1.33631557586e-05
21,best,9890.00825,0.006,0.0,1.35,2.84377929347e-05,1.488,934.14,3.14151620791,1.34113389191e-05
21,mean,9900.89632222,0.00391666666667,0.0,1.35,2.84065451827e-05,1.49216666667,934.14,3.141516505,1.33698703214e-05
22,best,9870.00975,0.0045,0.0,1.35,2.8495413062e-05,1.491,934.14,3.14151620714,1.34191849256e-05
22,mean,9896.67441667,0.00441666666667,0.0,1.35,2.84186734866e-05,1.49116666667,934.14,3.14151642147,1.33819828193e-05
23,best,9870.00975,0.006,0.0,1.35,2.8495413062e-05,1.488,934.14,3.14151605302,1.34385127247e-05
23,mean,9891.84719253,0.00461206896552,0.0,1.35,2.84325506072e-05,1.49077586207,934.14,3.14151636424,1.33910265811e-05
24,best,9860.0105,0.00675,0.0,1.35,2.85243095277e-05,1.4865,934.14,3.14151589796,1.34618358299e-05
