g,type,rco,ti,at,n0,p,a,r1,theta,v
0,best,10000.0,0.0,0.0,1.35,2.81249995169e-05,1.5,934.14,3.14151765359,1.3187859466e-05
0,mean,10000.0,0.0,0.0,1.35,2.81249995169e-05,1.5,934.14,3.14151765359,1.3187859466e-05
1,best,9990.00075,0.00075,0.0,1.35,2.81531501969e-05,1.4985,934.14,3.14151750337,1.32105149313e-05
1,mean,9998.75009375,6.5625e-05,0.0,1.35,2.81285183519e-05,1.49986875,934.14,3.14151763764,1.31903361064e-05
2,best,9980.0015,0.0015,0.0,1.35,2.81813590846e-05,1.497,934.14,3.1415173527,1.32332307615e-05
2,mean,9996.74443023,0.000113372093023,0.0,1.35,2.81341668851e-05,1.49977325581,934.14,3.14151761779,1.31935871147e-05
3,best,9980.0015,0.0015,0.0,1.35,2.81813590846e-05,1.497,934.14,3.1415173527,1.32332307615e-05
3,mean,9994.16710417,0.000267857142857,0.0,1.35,2.81414297119e-05,1.49946428571,934.14,3.14151758293,1.31989410405e-05
4,best,9960.003,0.0015,0.0,1.35,2.82379423879e-05,1.497,934.14,3.14151720151,1.32598008041e-05
4,mean,9990.97628659,0.000420731707317,0.0,1.35,2.81504220899e-05,1.49915853659,934.14,3.14151754361,1.32050870772e-05
5,best,9960.003,0.0015,0.0,1.35,2.82379423879e-05,1.497,934.14,3.14151720151,1.32598008041e-05
5,mean,9986.62600313,0.000721875,0.0,1.35,2.81626912511e-05,1.49855625,934.14,3.14151748066,1.32146424144e-05
6,best,9960.003,0.0015,0.0,1.35,2.82379423879e-05,1.497,934.14,3.14151720151,1.32598008041e-05
6,mean,9982.68422561,0.00101524390244,0.0,1.35,2.81738091694e-05,1.4979695122,934.14,3.14151742152,1.3223565869e-05
7,best,9950.00375,0.0015,0.0,1.35,2.82663204416e-05,1.497,934.14,3.14151712568,1.32731263975e-05
7,mean,9977.64873529,0.00149117647059,0.0,1.35,2.81880301105e-05,1.49701764706,934.14,3.14151733565,1.32362614335e-05
8,best,9950.00375,0.00375,0.0,1.35,2.82663204416e-05,1.4925,934.14,3.14151689796,1.33017349146e-05
8,mean,9970.90105899,0.00162640449438,0.0,1.35,2.82071073905e-05,1.49674719101,934.14,3.14151727104,1.32469337256e-05
9,best,9940.0045,0.00375,0.0,1.35,2.8294756703e-05,1.4925,934.14,3.14151682175,1.33151166214e-05
9,mean,9966.59074118,0.00197647058824,0.0,1.35,2.82193168352e-05,1.49604705882,934.14,3.14151720314,1.325710221e-05
10,best,9940.0045,0.003,0.0,1.35,2.8294756703e-05,1.494,934.14,3.14151689788,1.33055565935e-05
10,mean,9962.90975872,0.00220639534884,0.0,1.35,2.82297352346e-05,1.4955872093,934.14,3.14151715207,1.32649130855e-05
11,best,9940.0045,0.00375,0.0,1.35,2.8294756703e-05,1.4925,934.14,3.14151682175,1.33151166214e-05
11,mean,9960.62023765,0.00248148148148,0.0,1.35,2.82362200295e-05,1.49503703704,934.14,3.14151710694,1.32714525506e-05
12,best,9940.0045,0.00375,0.0,1.35,2.8294756703e-05,1.4925,934.14,3.14151682175,1.33151166214e-05
12,mean,9956.05267901,0.00264814814815,0.0,1.35,2.82491706727e-05,1.4947037037,934.14,3.14151705541,1.327965876e-05
13,best,9940.0045,0.0045,0.0,1.35,2.8294756703e-05,1.491,934.14,3.14151674546,1.33246909528e-05
13,mean,9952.84304321,0.00311111111111,0.0,1.35,2.82582797225e-05,1.49377777778,934.14,3.14151698413,1.32898318416e-05
14,best,9930.00525,0.0045,0.0,1.35,2.8323247534e-05,1.491,934.14,3.14151666902,1.33381079799e-05
14,mean,9948.23173101,0.00345569620253,0.0,1.35,2.82713846232e-05,1.49308860759,934.14,3.14151691413,1.3300379315e-05
15,best,9930.00525,0.0045,0.0,1.35,2.8323247534e-05,1.491,934.14,3.14151666902,1.33381079799e-05
15,mean,9944.35711471,0.00385588235294,0.0,1.35,2.82823932246e-05,1.49228823529,934.14,3.14151684404,1.33106568184e-05
16,best,9930.00525,0.0045,0.0,1.35,2.8323247534e-05,1.491,934.14,3.14151666902,1.33381079799e-05
16,mean,9941.81159337,0.00411144578313,0.0,1.35,2.82896295855e-05,1.49177710843,934.14,3.14151679869,1.33173209831e-05
17,best,9930.00525,0.006,0.0,1.35,2.8323247534e-05,1.488,934.14,3.14151651583,1.33573190029e-05
17,mean,9937.47456928,0.00439156626506,0.0,1.35,2.83019759213e-05,1.49121686747,934.14,3.14151673708,1.33267091606e-05
18,best,9930.00525,0.006,0.0,1.35,2.8323247534e-05,1.488,934.14,3.14151651583,1.33573190029e-05
18,mean,9933.04299684,0.00437658227848,0.0,1.35,2.83145994137e-05,1.49124683544,934.14,3.14151670476,1.33324612796e-05
19,best,9910.00675,0.00525,0.0,1.35,2.8380403819e-05,1.4895,934.14,3.14151643901,1.33746419591e-05
19,mean,9929.87867722,0.00452848101266,0.0,1.35,2.83236246865e-05,1.49094303797,934.14,3.14151666503,1.3338657173e-05
20,best,9920.006,0.00675,0.0,1.35,2.83517983917e-05,1.4865,934.14,3.14151636217,1.33804204817e-05
20,mean,9927.44446646,0.00484756097561,0.0,1.35,2.83305707853e-05,1.49030487805,934.14,3.14151661381,1.33460140834e-05
21,best,9900.0075,0.006,0.0,1.35,2.8409069273e-05,1.488,934.14,3.14151628512,1.33977927637e-05
21,mean,9924.36464744,0.00533653846154,0.0,1.35,2.83393625908e-05,1.48932692308,934.14,3.14151654026,1.33564208393e-05
22,best,9900.0075,0.00675,0.0,1.35,2.8409069273e-05,1.4865,934.14,3.14151620806,1.34074490484e-05
22,mean,9923.67661076,0.00583860759494,0.0,1.35,2.83413306142e-05,1.48832278481,934.14,3.14151648359,1.3363789342e-05
23,best,9900.0075,0.0075,0.0,1.35,2.8409069273e-05,1.485,934.14,3.14151613084,1.34171198202e-05
23,mean,9922.47640294,0.00633529411765,0.0,1.35,2.83447651942e-05,1.48732941176,934.14,3.14151642353,1.33717815794e-05
