g,type,rco,ti,at,n0,p,a,r1,theta,v
0,best,10000.0,0.0,0.0,1.35,2.81249995169e-05,1.5,934.14,3.14151765359,1.3187859466e-05
0,mean,10000.0,0.0,0.0,1.35,2.81249995169e-05,1.5,934.14,3.14151765359,1.3187859466e-05
1,best,9990.00075,0.0,0.0,1.35,2.81531501969e-05,1.5,934.14,3.14151757852,1.32010593671e-05
1,mean,9998.68430921,4.93421052632e-05,0.0,1.35,2.81287035537e-05,1.49990131579,934.14,3.14151763877,1.31902177496e-05
2,best,9980.0015,0.0,0.0,1.35,2.81813590846e-05,1.5,934.14,3.1415175033,1.32142865618e-05
2,mean,9996.78185057,0.000198275862069,0.0,1.35,2.8134061513e-05,1.49960344828,934.14,3.14151760958,1.31946062245e-05
3,best,9970.00225,0.00075,0.0,1.35,2.82096225419e-05,1.4985,934.14,3.14151735263,1.32370138756e-05
3,mean,9992.41020783,0.000343373493976,0.0,1.35,2.81463814962e-05,1.49931325301,934.14,3.14151756217,1.32022134237e-05
4,best,9970.00225,0.00075,0.0,1.35,2.82096225419e-05,1.4985,934.14,3.14151735263,1.32370138756e-05
4,mean,9990.00075,0.000334337349398,0.0,1.35,2.81531710166e-05,1.4993313253,934.14,3.14151754496,1.32052849991e-05
5,best,9960.003,0.00075,0.0,1.35,2.82379423879e-05,1.4985,934.14,3.14151727703,1.32503026104e-05
5,mean,9985.12932051,0.000538461538462,0.0,1.35,2.8166907377e-05,1.49892307692,934.14,3.14151748782,1.32143052876e-05
6,best,9960.003,0.0015,0.0,1.35,2.82379423879e-05,1.497,934.14,3.14151720151,1.32598008041e-05
6,mean,9980.24839506,0.000787037037037,0.0,1.35,2.81806871364e-05,1.49842592593,934.14,3.1415174261,1.32239087637e-05
7,best,9960.003,0.00225,0.0,1.35,2.82379423879e-05,1.4955,934.14,3.14151712583,1.32693131796e-05
7,mean,9974.09832831,0.000894578313253,0.0,1.35,2.81980589633e-05,1.49821084337,934.14,3.1415173689,1.32334214357e-05
8,best,9950.00375,0.00225,0.0,1.35,2.82663204416e-05,1.4955,934.14,3.14151704992,1.32826483326e-05
8,mean,9970.96108219,0.00124315068493,0.0,1.35,2.82069386355e-05,1.49751369863,934.14,3.14151731012,1.32419996931e-05
9,best,9950.00375,0.003,0.0,1.35,2.82663204416e-05,1.494,934.14,3.14151697402,1.32921844946e-05
9,mean,9964.75264375,0.0016125,0.0,1.35,2.82245062408e-05,1.496775,934.14,3.14151722599,1.32549244176e-05
10,best,9950.00375,0.00375,0.0,1.35,2.82663204416e-05,1.4925,934.14,3.14151689796,1.33017349146e-05
10,mean,9960.38271835,0.0019746835443,0.0,1.35,2.82368926468e-05,1.49605063291,934.14,3.14151715636,1.32653326047e-05
11,best,9940.0045,0.003,0.0,1.35,2.8294756703e-05,1.494,934.14,3.14151689788,1.33055565935e-05
11,mean,9956.02602557,0.00228409090909,0.0,1.35,2.82492502389e-05,1.49543181818,934.14,3.14151709208,1.32750645566e-05
12,best,9940.0045,0.0045,0.0,1.35,2.8294756703e-05,1.491,934.14,3.14151674546,1.33246909528e-05
12,mean,9951.92668269,0.00257692307692,0.0,1.35,2.8260890595e-05,1.49484615385,934.14,3.14151703129,1.32842592198e-05
13,best,9930.00525,0.00375,0.0,1.35,2.8323247534e-05,1.4925,934.14,3.14151674539,1.33285240078e-05
13,mean,9946.67066667,0.00284615384615,0.0,1.35,2.82758269933e-05,1.49430769231,934.14,3.14151696409,1.3294702729e-05
14,best,9930.00525,0.0045,0.0,1.35,2.8323247534e-05,1.491,934.14,3.14151666902,1.33381079799e-05
14,mean,9940.51079114,0.00292405063291,0.0,1.35,2.8293332181e-05,1.49415189873,934.14,3.14151690931,1.33039274019e-05
15,best,9920.006,0.00375,0.0,1.35,2.83517983917e-05,1.4925,934.14,3.14151666887,1.3341959642e-05
15,mean,9938.00465,0.003121875,0.0,1.35,2.8300467352e-05,1.49375625,934.14,3.14151687013,1.33098034205e-05
16,best,9910.00675,0.00375,0.0,1.35,2.8380403819e-05,1.4925,934.14,3.14151659221,1.33554209559e-05
16,mean,9935.32952597,0.00341883116883,0.0,1.35,2.83080838241e-05,1.49316233766,934.14,3.14151681957,1.33171734088e-05
17,best,9920.006,0.0045,0.0,1.35,2.83517983917e-05,1.491,934.14,3.14151659243,1.33515532751e-05
17,mean,9934.19098256,0.00357558139535,0.0,1.35,2.83113279925e-05,1.49284883721,934.14,3.14151679496,1.33206989377e-05
18,best,9930.00525,0.006,0.0,1.35,2.8323247534e-05,1.488,934.14,3.14151651583,1.33573190029e-05
18,mean,9930.62248765,0.00405555555556,0.0,1.35,2.83215050769e-05,1.49188888889,934.14,3.1415167189,1.33316129116e-05
19,best,9910.00675,0.0045,0.0,1.35,2.8380403819e-05,1.491,934.14,3.14151651569,1.33650242684e-05
19,mean,9928.80052108,0.00435542168675,0.0,1.35,2.83267080408e-05,1.49128915663,934.14,3.14151667445,1.33378900798e-05
20,best,9910.00675,0.006,0.0,1.35,2.8380403819e-05,1.488,934.14,3.14151636218,1.33842740592e-05
20,mean,9923.53514706,0.00440294117647,0.0,1.35,2.83417383745e-05,1.49119411765,934.14,3.14151662928,1.33455762558e-05
21,best,9910.00675,0.006,0.0,1.35,2.8380403819e-05,1.488,934.14,3.14151636218,1.33842740592e-05
21,mean,9918.48712658,0.00455696202532,0.0,1.35,2.83561627229e-05,1.49088607595,934.14,3.14151657487,1.33543407959e-05
22,best,9890.00825,0.00525,0.0,1.35,2.84377929347e-05,1.4895,934.14,3.14151628489,1.34016873415e-05
22,mean,9913.5867284,0.0047962962963,0.0,1.35,2.83701774157e-05,1.49040740741,934.14,3.14151651279,1.33640118935e-05
23,best,9880.009,0.00525,0.0,1.35,2.84665729851e-05,1.4895,934.14,3.14151620761,1.34152503222e-05
23,mean,9907.98309226,0.00495535714286,0.0,1.35,2.83862234158e-05,1.49008928571,934.14,3.14151645346,1.33736103702e-05
