g,type,rco,ti,at,n0,p,a,r1,theta,v
22,mean,9931.28720513,0.00643269230769,0.0,1.35,2.83196108145e-05,1.48713461538,934.14,3.14151648121,1.33611638702e-05
23,best,9910.00675,0.0075,0.0,1.35,2.8380403819e-05,1.485,934.14,3.14151620806,1.34035816142e-05
23,mean,9929.37238608,0.00674050632911,0.0,1.35,2.83250694706e-05,1.48651898734,934.14,3.14151643498,1.33676918315e-05
24,best,9900.0075,0.0075,0.0,1.35,2.8409069273e-05,1.485,934.14,3.14151613084,1.34171198202e-05
24,mean,9925.89596918,0.0071095890411,0.0,1.35,2.83349946672e-05,1.48578082192,934.14,3.14151637039,1.33771213545e-05
25,best,9900.0075,0.00825,0.0,1.35,2.8409069273e-05,1.4835,934.14,3.14151605347,1.3426805111e-05
25,mean,9921.80073718,0.00736538461538,0.0,1.35,2.83467070403e-05,1.48526923077,934.14,3.1415163126,1.3385940625e-05
26,best,9900.0075,0.009,0.0,1.35,2.8409069273e-05,1.482,934.14,3.14151597594,1.34365049524e-05
26,mean,9913.29918598,0.0076006097561,0.0,1.35,2.83710005089e-05,1.48479878049,934.14,3.14151622294,1.34004455961e-05
27,best,9900.0075,0.00975,0.0,1.35,2.8409069273e-05,1.4805,934.14,3.14151589825,1.34462193763e-05
27,mean,9908.86759494,0.00785126582278,0.0,1.35,2.83836808781e-05,1.48429746835,934.14,3.14151616292,1.34096704878e-05
28,best,9880.009,0.00975,0.0,1.35,2.84665729851e-05,1.4805,934.14,3.14151574289,1.3473436302e-05
28,mean,9906.67366667,0.00825,0.0,1.35,2.83899801919e-05,1.4835,934.14,3.1415161048,1.34177958212e-05
29,best,9890.00825,0.00975,0.0,1.35,2.84377929347e-05,1.4805,934.14,3.14151582065,1.34598144946e-05
29,mean,9903.53664706,0.00844411764706,0.0,1.35,2.83989782474e-05,1.48311176471,934.14,3.14151606051,1.34245547608e-05
30,best,9880.009,0.00975,0.0,1.35,2.84665729851e-05,1.4805,934.14,3.14151574289,1.3473436302e-05
30,mean,9899.88846131,0.00888392857143,0.0,1.35,2.84094417328e-05,1.48223214286,934.14,3.14151598681,1.34351906888e-05
31,best,9880.009,0.00975,0.0,1.35,2.84665729851e-05,1.4805,934.14,3.14151574289,1.3473436302e-05
31,mean,9895.92885855,0.00920723684211,0.0,1.35,2.84208037652e-05,1.48158552632,934.14,3.14151592266,1.34447523837e-05
32,best,9880.009,0.0105,0.0,1.35,2.84665729851e-05,1.479,934.14,3.14151566489,1.34831850332e-05
32,mean,9893.02007229,0.00968674698795,0.0,1.35,2.84291528885e-05,1.48062650602,934.14,3.14151585047,1.34549123019e-05
33,best,9870.00975,0.0105,0.0,1.35,2.8495413062e-05,1.479,934.14,3.14151558689,1.34968451284e-05
33,mean,9892.08126524,0.00998780487805,0.0,1.35,2.84318491206e-05,1.48002439024,934.14,3.14151581195,1.34600932769e-05
34,best,9870.00975,0.012,0.0,1.35,2.8495413062e-05,1.476,934.14,3.14151543025,1.35164064494e-05
34,mean,9888.68304819,0.0101837349398,0.0,1.35,2.84416258084e-05,1.47963253012,934.14,3.14151576515,1.34672684734e-05
35,best,9870.00975,0.01125,0.0,1.35,2.8495413062e-05,1.4775,934.14,3.14151550865,1.35066184273e-05
35,mean,9885.12489535,0.0105610465116,0.0,1.35,2.84518625428e-05,1.47887790698,934.14,3.14151569823,1.3477019106e-05
36,best,9870.00975,0.012,0.0,1.35,2.8495413062e-05,1.476,934.14,3.14151543025,1.35164064494e-05
36,mean,9881.95690584,0.0109577922078,0.0,1.35,2.84609849079e-05,1.47808441558,934.14,3.14151563223,1.34865029117e-05
37,best,9870.00975,0.01275,0.0,1.35,2.8495413062e-05,1.4745,934.14,3.14151535169,1.35262092271e-05
37,mean,9879.30317059,0.0112323529412,0.0,1.35,2.84686261105e-05,1.47753529412,934.14,3.14151558292,1.34936993066e-05
38,best,9850.01125,0.01125,0.0,1.35,2.8553267839e-05,1.4775,934.14,3.14151535202,1.35340411705e-05
38,mean,9876.03202557,0.0115909090909,0.0,1.35,2.84780566786e-05,1.47681818182,934.14,3.14151551999,1.35028401296e-05
39,best,9860.0105,0.0135,0.0,1.35,2.85243095277e-05,1.473,934.14,3.1415151945,1.35497533293e-05
39,mean,9872.98571726,0.0118125,0.0,1.35,2.84868475709e-05,1.476375,934.14,3.14151547301,1.35099014266e-05
40,best,9860.0105,0.01425,0.0,1.35,2.85243095277e-05,1.4715,934.14,3.14151511554,1.3559595686e-05
40,mean,9870.84302083,0.0120089285714,0.0,1.35,2.84930363792e-05,1.47598214286,934.14,3.14151543568,1.35154018734e-05
41,best,9840.012,0.0135,0.0,1.35,2.8582282539e-05,1.473,934.14,3.14151503707,1.35772919452e-05
41,mean,9864.94988855,0.0123524096386,0.0,1.35,2.85100474235e-05,1.47529518072,934.14,3.14151535358,1.35279632322e-05
42,best,9840.012,0.01275,0.0,1.35,2.8582282539e-05,1.4745,934.14,3.14151511603,1.35674444504e-05
42,mean,9861.84944253,0.0125,0.0,1.35,2.85190105607e-05,1.475,934.14,3.14151531383,1.35341448494e-05
43,best,9830.01275,0.0135,0.0,1.35,2.86113572656e-05,1.473,934.14,3.14151495812,1.35911031603e-05
43,mean,9858.53333807,0.01284375,0.0,1.35,2.85286087298e-05,1.4743125,934.14,3.14151525172,1.35432005956e-05
44,best,9820.0135,0.0135,0.0,1.35,2.86404901999e-05,1.473,934.14,3.14151487901,1.36049420254e-05
