g,type,rco,ti,at,n0,p,a,r1,theta,v
0,best,10000.0,0.0,0.0,1.35,2.81249995169e-05,1.5,934.14,3.14151765359,1.3187859466e-05
0,mean,10000.0,0.0,0.0,1.35,2.81249995169e-05,1.5,934.14,3.14151765359,1.3187859466e-05
1,best,9990.00075,0.00075,0.0,1.35,2.81531501969e-05,1.4985,934.14,3.14151750337,1.32105149313e-05
1,mean,9999.36713608,9.49367088608e-05,0.0,1.35,2.81267812055e-05,1.49981012658,934.14,3.14151763934,1.31898907325e-05
2,best,9980.0015,0.00075,0.0,1.35,2.81813590846e-05,1.4985,934.14,3.14151742807,1.32237516004e-05
2,mean,9998.31181494,0.000272727272727,0.0,1.35,2.8129752985e-05,1.49945454545,934.14,3.14151761361,1.31935243669e-05
3,best,9980.0015,0.00075,0.0,1.35,2.81813590846e-05,1.4985,934.14,3.14151742807,1.32237516004e-05
3,mean,9996.91381173,0.000351851851852,0.0,1.35,2.81336894356e-05,1.4992962963,934.14,3.14151759518,1.31963673813e-05
4,best,9980.0015,0.0015,0.0,1.35,2.81813590846e-05,1.497,934.14,3.1415173527,1.32332307615e-05
4,mean,9994.87538438,0.0004875,0.0,1.35,2.81394325611e-05,1.499025,934.14,3.14151756626,1.32007721291e-05
5,best,9970.00225,0.0015,0.0,1.35,2.82096225419e-05,1.497,934.14,3.14151727718,1.32465025435e-05
5,mean,9990.58894118,0.000732352941176,0.0,1.35,2.81515092972e-05,1.49853529412,934.14,3.14151750947,1.32095267911e-05
6,best,9960.003,0.0015,0.0,1.35,2.82379423879e-05,1.497,934.14,3.14151720151,1.32598008041e-05
6,mean,9988.11853824,0.0009,0.0,1.35,2.81584769897e-05,1.4982,934.14,3.14151747405,1.32149119948e-05
7,best,9960.003,0.00225,0.0,1.35,2.82379423879e-05,1.4955,934.14,3.14151712583,1.32693131796e-05
7,mean,9984.47175294,0.00100588235294,0.0,1.35,2.81687651509e-05,1.49798823529,934.14,3.14151743594,1.32210791692e-05
8,best,9950.00375,0.00075,0.0,1.35,2.82663204416e-05,1.4985,934.14,3.14151720128,1.32636186585e-05
8,mean,9980.94260588,0.00111176470588,0.0,1.35,2.81787294679e-05,1.49777647059,934.14,3.14151739871,1.3227091751e-05
9,best,9950.00375,0.00225,0.0,1.35,2.82663204416e-05,1.4955,934.14,3.14151704992,1.32826483326e-05
9,mean,9975.48964329,0.00128048780488,0.0,1.35,2.81941496857e-05,1.49743902439,934.14,3.14151734054,1.32364659341e-05
10,best,9940.0045,0.003,0.0,1.35,2.8294756703e-05,1.494,934.14,3.14151689788,1.33055565935e-05
10,mean,9969.87880247,0.0015,0.0,1.35,2.82100120527e-05,1.497,934.14,3.14151727601,1.32466974059e-05
11,best,9940.0045,0.003,0.0,1.35,2.8294756703e-05,1.494,934.14,3.14151689788,1.33055565935e-05
11,mean,9964.94238855,0.00198795180723,0.0,1.35,2.82239902571e-05,1.49602409639,934.14,3.14151718946,1.32594456339e-05
12,best,9940.0045,0.00375,0.0,1.35,2.8294756703e-05,1.4925,934.14,3.14151682175,1.33151166214e-05
12,mean,9961.06174412,0.00206470588235,0.0,1.35,2.82349798106e-05,1.49587058824,934.14,3.14151715234,1.32655804156e-05
13,best,9940.0045,0.00375,0.0,1.35,2.8294756703e-05,1.4925,934.14,3.14151682175,1.33151166214e-05
13,mean,9956.39861919,0.00256395348837,0.0,1.35,2.82482000076e-05,1.49487209302,934.14,3.14151706657,1.32781284371e-05
14,best,9930.00525,0.0045,0.0,1.35,2.8323247534e-05,1.491,934.14,3.14151666902,1.33381079799e-05
14,mean,9954.35636471,0.00305294117647,0.0,1.35,2.8254000298e-05,1.49389411765,934.14,3.14151700158,1.32870692928e-05
15,best,9930.00525,0.0045,0.0,1.35,2.8323247534e-05,1.491,934.14,3.14151666902,1.33381079799e-05
15,mean,9949.37088608,0.00335126582278,0.0,1.35,2.8268165956e-05,1.49329746835,934.14,3.1415169334,1.32975305762e-05
16,best,9930.00525,0.00525,0.0,1.35,2.8323247534e-05,1.4895,934.14,3.1415165925,1.33477063012e-05
16,mean,9943.45662202,0.00373214285714,0.0,1.35,2.82849703451e-05,1.49253571429,934.14,3.14151684972,1.33102896364e-05
17,best,9930.00525,0.00525,0.0,1.35,2.8323247534e-05,1.4895,934.14,3.1415165925,1.33477063012e-05
17,mean,9936.221,0.00384121621622,0.0,1.35,2.8305547538e-05,1.49231756757,934.14,3.14151678351,1.33213627518e-05
18,best,9920.006,0.00525,0.0,1.35,2.83517983917e-05,1.4895,934.14,3.14151651583,1.33611612718e-05
18,mean,9934.19098256,0.00390697674419,0.0,1.35,2.83113338302e-05,1.49218604651,934.14,3.14151676129,1.33249272499e-05
19,best,9920.006,0.00525,0.0,1.35,2.83517983917e-05,1.4895,934.14,3.14151651583,1.33611612718e-05
19,mean,9932.05328916,0.0040843373494,0.0,1.35,2.83174269871e-05,1.4918313253,934.14,3.14151672692,1.33300587911e-05
20,best,9910.00675,0.00525,0.0,1.35,2.8380403819e-05,1.4895,934.14,3.14151643901,1.33746419591e-05
20,mean,9928.68004819,0.00425602409639,0.0,1.35,2.83270463728e-05,1.49148795181,934.14,3.1415166836,1.33367859291e-05
21,best,9920.006,0.00675,0.0,1.35,2.83517983917e-05,1.4865,934.14,3.14151636217,1.33804204817e-05
21,mean,9926.30689726,0.00455136986301,0.0,1.35,2.83338162611e-05,1.49089726027,934.14,3.1415166353,1.33437538639e-05
22,best,9910.00675,0.00675,0.0,1.35,2.8380403819e-05,1.4865,934.14,3.1415162852,1.33939206004e-05
22,mean,9925.64660256,0.00510576923077,0.0,1.35,2.83357105498e-05,1.48978846154,934.14,3.14151657367,1.33517408266e-05
23,best,9900.0075,0.00675,0.0,1.35,2.8409069273e-05,1.4865,934.14,3.14151620806,1.34074490484e-05
23,mean,9920.36311607,0.0055,0.0,1.35,2.83508020402e-05,1.489,934.14,3.14151649285,1.33639051171e-05
